Code,Year,"Health insurance coverage (ILO, 2014)",BCG (% of one-year-olds immunized),HepB3 (% of one-year-olds immunized),Hib3 (% of one-year-olds immunized),MCV1 (% of one-year-olds immunized),PCV3 (% of one-year-olds immunized),Pol3 (% of one-year-olds immunized),RCV1 (% of one-year-olds immunized),RotaC (% of one-year-olds immunized),YFV (% of one-year-olds immunized),DTP3 (% of one-year-olds immunized),Entity,Estimated maternal deaths,Under-five mortality rate - Total - Deaths per 100 live births,Births attended by skilled health staff (% of total),Deaths - Sex: all - Age: 0 - Variant: estimates,Under-fifteen mortality rate,Region,Age_in_Months_Days_Years,Cause of Death,FactValueNumeric,Value
DOM,2007,26.5,92.0,81.0,70.0,82.0,,86.0,82.0,,,85.0,Dominican Republic,182.46219,3.5615387,97.8,5960.0,3.9783692,Americas,0-27 days,Tetanus,0.0006,0.0
GRD,2007,7.4,98.0,96.0,96.0,98.0,,96.0,98.0,,,96.0,Grenada,0.5830281,1.4358536,98.8,22.0,1.7887404,Americas,1-59 months,Prematurity,0.098,0.1
GRD,2007,7.4,98.0,96.0,96.0,98.0,,96.0,98.0,,,96.0,Grenada,0.5830281,1.4358536,98.8,22.0,1.7887404,Americas,1-59 months,"Other communicable, perinatal and nutritional conditions",0.081,0.1
NAM,2007,28.0,95.0,93.5,94.0,69.0,,81.0,95.0,,,86.0,Namibia,251.992,6.1041255,81.4,2586.0,7.407391,Africa,0-27 days,Diarrhoeal diseases,0.005,0.0
NAM,2007,28.0,95.0,93.5,94.0,69.0,,81.0,95.0,,,86.0,Namibia,251.992,6.1041255,81.4,2586.0,7.407391,Africa,0-27 days,Tetanus,0.005,0.0
GRD,2007,7.4,98.0,96.0,96.0,98.0,,96.0,98.0,,,96.0,Grenada,0.5830281,1.4358536,98.8,22.0,1.7887404,Americas,0-4 years,Congenital anomalies,0.14,0.1
GRD,2007,7.4,98.0,96.0,96.0,98.0,,96.0,98.0,,,96.0,Grenada,0.5830281,1.4358536,98.8,22.0,1.7887404,Americas,0-4 years,Injuries,0.1,0.1
GRD,2007,7.4,98.0,96.0,96.0,98.0,,96.0,98.0,,,96.0,Grenada,0.5830281,1.4358536,98.8,22.0,1.7887404,Americas,0-4 years,Diarrhoeal diseases,0.0,0.0
GRD,2007,7.4,98.0,96.0,96.0,98.0,,96.0,98.0,,,96.0,Grenada,0.5830281,1.4358536,98.8,22.0,1.7887404,Americas,0-4 years,Tetanus,0.0,0.0
GRD,2007,7.4,98.0,96.0,96.0,98.0,,96.0,98.0,,,96.0,Grenada,0.5830281,1.4358536,98.8,22.0,1.7887404,Americas,0-4 years,Measles,0.0,0.0
GRD,2007,7.4,98.0,96.0,96.0,98.0,,96.0,98.0,,,96.0,Grenada,0.5830281,1.4358536,98.8,22.0,1.7887404,Americas,0-4 years,Meningitis/encephalitis,0.0,0.0
GRD,2007,7.4,98.0,96.0,96.0,98.0,,96.0,98.0,,,96.0,Grenada,0.5830281,1.4358536,98.8,22.0,1.7887404,Americas,0-27 days,"Other communicable, perinatal and nutritional conditions",0.051,0.1
GRD,2007,7.4,98.0,96.0,96.0,98.0,,96.0,98.0,,,96.0,Grenada,0.5830281,1.4358536,98.8,22.0,1.7887404,Americas,0-27 days,Injuries,0.061,0.1
JAM,2007,20.1,87.0,92.0,91.0,76.0,,94.0,76.0,,,92.0,Jamaica,41.265705,1.9108992,93.0,753.0,2.2434313,Americas,0-27 days,Diarrhoeal diseases,0.0,0.0
JAM,2007,20.1,87.0,92.0,91.0,76.0,,94.0,76.0,,,92.0,Jamaica,41.265705,1.9108992,93.0,753.0,2.2434313,Americas,0-27 days,Tetanus,0.0,0.0
JAM,2007,20.1,87.0,92.0,91.0,76.0,,94.0,76.0,,,92.0,Jamaica,41.265705,1.9108992,93.0,753.0,2.2434313,Americas,0-27 days,Measles,0.0,0.0
JAM,2007,20.1,87.0,92.0,91.0,76.0,,94.0,76.0,,,92.0,Jamaica,41.265705,1.9108992,93.0,753.0,2.2434313,Americas,0-27 days,Meningitis/encephalitis,0.003,0.0
JAM,2007,20.1,87.0,92.0,91.0,76.0,,94.0,76.0,,,92.0,Jamaica,41.265705,1.9108992,93.0,753.0,2.2434313,Americas,0-27 days,Malaria,0.0,0.0
JAM,2007,20.1,87.0,92.0,91.0,76.0,,94.0,76.0,,,92.0,Jamaica,41.265705,1.9108992,93.0,753.0,2.2434313,Americas,0-27 days,Acute lower respiratory infections,0.026,0.0
NAM,2007,28.0,95.0,93.5,94.0,69.0,,81.0,95.0,,,86.0,Namibia,251.992,6.1041255,81.4,2586.0,7.407391,Africa,1-59 months,Birth asphyxia and birth trauma,0.012,0.0
NAM,2007,28.0,95.0,93.5,94.0,69.0,,81.0,95.0,,,86.0,Namibia,251.992,6.1041255,81.4,2586.0,7.407391,Africa,1-59 months,Sepsis and other infectious conditions of the newborn,0.0,0.0
JAM,2007,20.1,87.0,92.0,91.0,76.0,,94.0,76.0,,,92.0,Jamaica,41.265705,1.9108992,93.0,753.0,2.2434313,Americas,1-59 months,Congenital anomalies,0.28,0.3
JAM,2007,20.1,87.0,92.0,91.0,76.0,,94.0,76.0,,,92.0,Jamaica,41.265705,1.9108992,93.0,753.0,2.2434313,Americas,1-59 months,Other noncommunicable diseases,0.3,0.3
JAM,2007,20.1,87.0,92.0,91.0,76.0,,94.0,76.0,,,92.0,Jamaica,41.265705,1.9108992,93.0,753.0,2.2434313,Americas,0-4 years,HIV/AIDS,0.035,0.0
JAM,2007,20.1,87.0,92.0,91.0,76.0,,94.0,76.0,,,92.0,Jamaica,41.265705,1.9108992,93.0,753.0,2.2434313,Americas,0-4 years,Diarrhoeal diseases,0.006,0.0
JAM,2007,20.1,87.0,92.0,91.0,76.0,,94.0,76.0,,,92.0,Jamaica,41.265705,1.9108992,93.0,753.0,2.2434313,Americas,0-4 years,Tetanus,0.0,0.0
JAM,2007,20.1,87.0,92.0,91.0,76.0,,94.0,76.0,,,92.0,Jamaica,41.265705,1.9108992,93.0,753.0,2.2434313,Americas,0-4 years,Measles,0.0,0.0
JAM,2007,20.1,87.0,92.0,91.0,76.0,,94.0,76.0,,,92.0,Jamaica,41.265705,1.9108992,93.0,753.0,2.2434313,Americas,0-27 days,Injuries,0.0,0.0
JAM,2007,20.1,87.0,92.0,91.0,76.0,,94.0,76.0,,,92.0,Jamaica,41.265705,1.9108992,93.0,753.0,2.2434313,Americas,0-27 days,HIV/AIDS,0.0005,0.0
JAM,2007,20.1,87.0,92.0,91.0,76.0,,94.0,76.0,,,92.0,Jamaica,41.265705,1.9108992,93.0,753.0,2.2434313,Americas,0-4 years,Acute lower respiratory infections,0.036,0.0
JAM,2007,20.1,87.0,92.0,91.0,76.0,,94.0,76.0,,,92.0,Jamaica,41.265705,1.9108992,93.0,753.0,2.2434313,Americas,0-27 days,Sepsis and other infectious conditions of the newborn,0.12,0.1
JAM,2007,20.1,87.0,92.0,91.0,76.0,,94.0,76.0,,,92.0,Jamaica,41.265705,1.9108992,93.0,753.0,2.2434313,Americas,1-59 months,Sepsis and other infectious conditions of the newborn,0.0,0.0
JAM,2007,20.1,87.0,92.0,91.0,76.0,,94.0,76.0,,,92.0,Jamaica,41.265705,1.9108992,93.0,753.0,2.2434313,Americas,1-59 months,Diarrhoeal diseases,0.02,0.0
JAM,2007,20.1,87.0,92.0,91.0,76.0,,94.0,76.0,,,92.0,Jamaica,41.265705,1.9108992,93.0,753.0,2.2434313,Americas,1-59 months,Tetanus,0.0,0.0
JAM,2007,20.1,87.0,92.0,91.0,76.0,,94.0,76.0,,,92.0,Jamaica,41.265705,1.9108992,93.0,753.0,2.2434313,Americas,1-59 months,Measles,0.0,0.0
JAM,2007,20.1,87.0,92.0,91.0,76.0,,94.0,76.0,,,92.0,Jamaica,41.265705,1.9108992,93.0,753.0,2.2434313,Americas,0-4 years,"Other communicable, perinatal and nutritional conditions",0.049,0.0
JAM,2007,20.1,87.0,92.0,91.0,76.0,,94.0,76.0,,,92.0,Jamaica,41.265705,1.9108992,93.0,753.0,2.2434313,Americas,0-4 years,Injuries,0.022,0.0
JAM,2007,20.1,87.0,92.0,91.0,76.0,,94.0,76.0,,,92.0,Jamaica,41.265705,1.9108992,93.0,753.0,2.2434313,Americas,1-59 months,Prematurity,0.023,0.0
JAM,2007,20.1,87.0,92.0,91.0,76.0,,94.0,76.0,,,92.0,Jamaica,41.265705,1.9108992,93.0,753.0,2.2434313,Americas,1-59 months,Birth asphyxia and birth trauma,0.007,0.0
ATG,2007,51.1,98.0,97.0,99.0,99.0,,98.0,99.0,,,99.0,Antigua and Barbuda,0.3371821,1.2677228,100.0,13.0,1.5160731,Americas,1-59 months,Malaria,0.0,0.0
ATG,2007,51.1,98.0,97.0,99.0,99.0,,98.0,99.0,,,99.0,Antigua and Barbuda,0.3371821,1.2677228,100.0,13.0,1.5160731,Americas,0-4 years,HIV/AIDS,0.0,0.0
NAM,2007,28.0,95.0,93.5,94.0,69.0,,81.0,95.0,,,86.0,Namibia,251.992,6.1041255,81.4,2586.0,7.407391,Africa,0-4 years,"Other communicable, perinatal and nutritional conditions",0.1,0.1
NAM,2007,28.0,95.0,93.5,94.0,69.0,,81.0,95.0,,,86.0,Namibia,251.992,6.1041255,81.4,2586.0,7.407391,Africa,0-4 years,Congenital anomalies,0.054,0.1
NAM,2007,28.0,95.0,93.5,94.0,69.0,,81.0,95.0,,,86.0,Namibia,251.992,6.1041255,81.4,2586.0,7.407391,Africa,0-27 days,Injuries,0.006,0.0
NAM,2007,28.0,95.0,93.5,94.0,69.0,,81.0,95.0,,,86.0,Namibia,251.992,6.1041255,81.4,2586.0,7.407391,Africa,0-27 days,HIV/AIDS,0.006,0.0
DOM,2007,26.5,92.0,81.0,70.0,82.0,,86.0,82.0,,,85.0,Dominican Republic,182.46219,3.5615387,97.8,5960.0,3.9783692,Americas,1-59 months,HIV/AIDS,0.082,0.1
DOM,2007,26.5,92.0,81.0,70.0,82.0,,86.0,82.0,,,85.0,Dominican Republic,182.46219,3.5615387,97.8,5960.0,3.9783692,Americas,1-59 months,Diarrhoeal diseases,0.15,0.1
ATG,2007,51.1,98.0,97.0,99.0,99.0,,98.0,99.0,,,99.0,Antigua and Barbuda,0.3371821,1.2677228,100.0,13.0,1.5160731,Americas,1-59 months,Diarrhoeal diseases,0.032,0.0
ATG,2007,51.1,98.0,97.0,99.0,99.0,,98.0,99.0,,,99.0,Antigua and Barbuda,0.3371821,1.2677228,100.0,13.0,1.5160731,Americas,1-59 months,Tetanus,0.0,0.0
DOM,2007,26.5,92.0,81.0,70.0,82.0,,86.0,82.0,,,85.0,Dominican Republic,182.46219,3.5615387,97.8,5960.0,3.9783692,Americas,0-4 years,Congenital anomalies,0.14,0.1
DOM,2007,26.5,92.0,81.0,70.0,82.0,,86.0,82.0,,,85.0,Dominican Republic,182.46219,3.5615387,97.8,5960.0,3.9783692,Americas,0-4 years,Injuries,0.058,0.1
DOM,2007,26.5,92.0,81.0,70.0,82.0,,86.0,82.0,,,85.0,Dominican Republic,182.46219,3.5615387,97.8,5960.0,3.9783692,Americas,1-59 months,"Other communicable, perinatal and nutritional conditions",0.1,0.1
DOM,2007,26.5,92.0,81.0,70.0,82.0,,86.0,82.0,,,85.0,Dominican Republic,182.46219,3.5615387,97.8,5960.0,3.9783692,Americas,1-59 months,Congenital anomalies,0.12,0.1
DOM,2007,26.5,92.0,81.0,70.0,82.0,,86.0,82.0,,,85.0,Dominican Republic,182.46219,3.5615387,97.8,5960.0,3.9783692,Americas,0-27 days,Birth asphyxia and birth trauma,0.23,0.2
DOM,2007,26.5,92.0,81.0,70.0,82.0,,86.0,82.0,,,85.0,Dominican Republic,182.46219,3.5615387,97.8,5960.0,3.9783692,Americas,0-27 days,Congenital anomalies,0.16,0.2
GRD,2007,7.4,98.0,96.0,96.0,98.0,,96.0,98.0,,,96.0,Grenada,0.5830281,1.4358536,98.8,22.0,1.7887404,Americas,1-59 months,Congenital anomalies,0.097,0.1
GRD,2007,7.4,98.0,96.0,96.0,98.0,,96.0,98.0,,,96.0,Grenada,0.5830281,1.4358536,98.8,22.0,1.7887404,Americas,0-4 years,"Other communicable, perinatal and nutritional conditions",0.065,0.1
ATG,2007,51.1,98.0,97.0,99.0,99.0,,98.0,99.0,,,99.0,Antigua and Barbuda,0.3371821,1.2677228,100.0,13.0,1.5160731,Americas,0-27 days,Acute lower respiratory infections,0.04,0.0
ATG,2007,51.1,98.0,97.0,99.0,99.0,,98.0,99.0,,,99.0,Antigua and Barbuda,0.3371821,1.2677228,100.0,13.0,1.5160731,Americas,1-59 months,Birth asphyxia and birth trauma,0.0,0.0
ATG,2007,51.1,98.0,97.0,99.0,99.0,,98.0,99.0,,,99.0,Antigua and Barbuda,0.3371821,1.2677228,100.0,13.0,1.5160731,Americas,0-4 years,Congenital anomalies,0.15,0.1
ATG,2007,51.1,98.0,97.0,99.0,99.0,,98.0,99.0,,,99.0,Antigua and Barbuda,0.3371821,1.2677228,100.0,13.0,1.5160731,Americas,0-4 years,Injuries,0.081,0.1
DOM,2007,26.5,92.0,81.0,70.0,82.0,,86.0,82.0,,,85.0,Dominican Republic,182.46219,3.5615387,97.8,5960.0,3.9783692,Americas,0-4 years,Diarrhoeal diseases,0.054,0.1
DOM,2007,26.5,92.0,81.0,70.0,82.0,,86.0,82.0,,,85.0,Dominican Republic,182.46219,3.5615387,97.8,5960.0,3.9783692,Americas,0-4 years,Acute lower respiratory infections,0.12,0.1
NAM,2007,28.0,95.0,93.5,94.0,69.0,,81.0,95.0,,,86.0,Namibia,251.992,6.1041255,81.4,2586.0,7.407391,Africa,1-59 months,Meningitis/encephalitis,0.027,0.0
NAM,2007,28.0,95.0,93.5,94.0,69.0,,81.0,95.0,,,86.0,Namibia,251.992,6.1041255,81.4,2586.0,7.407391,Africa,1-59 months,Malaria,0.008,0.0
GRD,2007,7.4,98.0,96.0,96.0,98.0,,96.0,98.0,,,96.0,Grenada,0.5830281,1.4358536,98.8,22.0,1.7887404,Americas,0-4 years,Prematurity,0.23,0.2
GRD,2007,7.4,98.0,96.0,96.0,98.0,,96.0,98.0,,,96.0,Grenada,0.5830281,1.4358536,98.8,22.0,1.7887404,Americas,0-4 years,Birth asphyxia and birth trauma,0.16,0.2
JAM,2007,20.1,87.0,92.0,91.0,76.0,,94.0,76.0,,,92.0,Jamaica,41.265705,1.9108992,93.0,753.0,2.2434313,Americas,0-4 years,Prematurity,0.36,0.4
JAM,2007,20.1,87.0,92.0,91.0,76.0,,94.0,76.0,,,92.0,Jamaica,41.265705,1.9108992,93.0,753.0,2.2434313,Americas,0-27 days,Prematurity,0.5,0.5
JAM,2007,20.1,87.0,92.0,91.0,76.0,,94.0,76.0,,,92.0,Jamaica,41.265705,1.9108992,93.0,753.0,2.2434313,Americas,0-27 days,"Other communicable, perinatal and nutritional conditions",0.037,0.0
JAM,2007,20.1,87.0,92.0,91.0,76.0,,94.0,76.0,,,92.0,Jamaica,41.265705,1.9108992,93.0,753.0,2.2434313,Americas,0-27 days,Other noncommunicable diseases,0.003,0.0
JAM,2007,20.1,87.0,92.0,91.0,76.0,,94.0,76.0,,,92.0,Jamaica,41.265705,1.9108992,93.0,753.0,2.2434313,Americas,1-59 months,Injuries,0.078,0.1
JAM,2007,20.1,87.0,92.0,91.0,76.0,,94.0,76.0,,,92.0,Jamaica,41.265705,1.9108992,93.0,753.0,2.2434313,Americas,1-59 months,HIV/AIDS,0.12,0.1
JAM,2007,20.1,87.0,92.0,91.0,76.0,,94.0,76.0,,,92.0,Jamaica,41.265705,1.9108992,93.0,753.0,2.2434313,Americas,1-59 months,Acute lower respiratory infections,0.06,0.1
JAM,2007,20.1,87.0,92.0,91.0,76.0,,94.0,76.0,,,92.0,Jamaica,41.265705,1.9108992,93.0,753.0,2.2434313,Americas,0-4 years,Birth asphyxia and birth trauma,0.13,0.1
JAM,2007,20.1,87.0,92.0,91.0,76.0,,94.0,76.0,,,92.0,Jamaica,41.265705,1.9108992,93.0,753.0,2.2434313,Americas,0-4 years,Sepsis and other infectious conditions of the newborn,0.088,0.1
JAM,2007,20.1,87.0,92.0,91.0,76.0,,94.0,76.0,,,92.0,Jamaica,41.265705,1.9108992,93.0,753.0,2.2434313,Americas,0-4 years,Other noncommunicable diseases,0.086,0.1
SLE,2008,0.0,91.0,77.0,77.0,73.0,,75.0,95.0,,64.0,77.0,Sierra Leone,2392.6836,17.524014,42.4,27849.0,19.723742,Africa,0-4 years,Diarrhoeal diseases,0.1,0.1
EGY,2008,51.1,98.0,97.0,94.0,92.0,,97.0,92.0,,,97.0,Egypt,959.69214,3.1302514,78.9,58598.0,3.6320312,Eastern Mediterranean,0-27 days,Diarrhoeal diseases,0.0,0.0
NGA,2008,2.2,65.0,41.0,94.0,53.0,,60.0,95.0,,50.0,53.0,Nigeria,71529.03,14.134067,38.9,599574.0,16.347645,Africa,0-4 years,Birth asphyxia and birth trauma,0.11,0.1
NGA,2008,2.2,65.0,41.0,94.0,53.0,,60.0,95.0,,50.0,53.0,Nigeria,71529.03,14.134067,38.9,599574.0,16.347645,Africa,0-4 years,"Other communicable, perinatal and nutritional conditions",0.08,0.1
EGY,2008,51.1,98.0,97.0,94.0,92.0,,97.0,92.0,,,97.0,Egypt,959.69214,3.1302514,78.9,58598.0,3.6320312,Eastern Mediterranean,1-59 months,Other noncommunicable diseases,0.14,0.1
EGY,2008,51.1,98.0,97.0,94.0,92.0,,97.0,92.0,,,97.0,Egypt,959.69214,3.1302514,78.9,58598.0,3.6320312,Eastern Mediterranean,1-59 months,"Other communicable, perinatal and nutritional conditions",0.1,0.1
EGY,2008,51.1,98.0,97.0,94.0,92.0,,97.0,92.0,,,97.0,Egypt,959.69214,3.1302514,78.9,58598.0,3.6320312,Eastern Mediterranean,1-59 months,Tetanus,0.0,0.0
EGY,2008,51.1,98.0,97.0,94.0,92.0,,97.0,92.0,,,97.0,Egypt,959.69214,3.1302514,78.9,58598.0,3.6320312,Eastern Mediterranean,1-59 months,Acute lower respiratory infections,0.26,0.3
NGA,2008,2.2,65.0,41.0,94.0,53.0,,60.0,95.0,,50.0,53.0,Nigeria,71529.03,14.134067,38.9,599574.0,16.347645,Africa,0-4 years,Tetanus,0.012,0.0
NGA,2008,2.2,65.0,41.0,94.0,53.0,,60.0,95.0,,50.0,53.0,Nigeria,71529.03,14.134067,38.9,599574.0,16.347645,Africa,0-4 years,Measles,0.016,0.0
EGY,2008,51.1,98.0,97.0,94.0,92.0,,97.0,92.0,,,97.0,Egypt,959.69214,3.1302514,78.9,58598.0,3.6320312,Eastern Mediterranean,0-27 days,Other noncommunicable diseases,0.0008,0.0
EGY,2008,51.1,98.0,97.0,94.0,92.0,,97.0,92.0,,,97.0,Egypt,959.69214,3.1302514,78.9,58598.0,3.6320312,Eastern Mediterranean,0-27 days,Injuries,0.011,0.0
PAN,2008,51.8,98.0,86.0,86.0,96.0,,86.0,96.0,74.0,0.0,86.0,Panama,40.648422,1.9547889,91.8,1159.0,2.316667,Americas,1-59 months,Other noncommunicable diseases,0.13,0.1
PAN,2008,51.8,98.0,86.0,86.0,96.0,,86.0,96.0,74.0,0.0,86.0,Panama,40.648422,1.9547889,91.8,1159.0,2.316667,Americas,1-59 months,Injuries,0.1,0.1
EGY,2008,51.1,98.0,97.0,94.0,92.0,,97.0,92.0,,,97.0,Egypt,959.69214,3.1302514,78.9,58598.0,3.6320312,Eastern Mediterranean,0-27 days,HIV/AIDS,0.0,0.0
SLE,2008,0.0,91.0,77.0,77.0,73.0,,75.0,95.0,,64.0,77.0,Sierra Leone,2392.6836,17.524014,42.4,27849.0,19.723742,Africa,0-4 years,"Other communicable, perinatal and nutritional conditions",0.073,0.1
EGY,2008,51.1,98.0,97.0,94.0,92.0,,97.0,92.0,,,97.0,Egypt,959.69214,3.1302514,78.9,58598.0,3.6320312,Eastern Mediterranean,0-27 days,Meningitis/encephalitis,0.006,0.0
EGY,2008,51.1,98.0,97.0,94.0,92.0,,97.0,92.0,,,97.0,Egypt,959.69214,3.1302514,78.9,58598.0,3.6320312,Eastern Mediterranean,0-27 days,Malaria,0.0,0.0
EGY,2008,51.1,98.0,97.0,94.0,92.0,,97.0,92.0,,,97.0,Egypt,959.69214,3.1302514,78.9,58598.0,3.6320312,Eastern Mediterranean,1-59 months,Prematurity,0.029,0.0
NGA,2008,2.2,65.0,41.0,94.0,53.0,,60.0,95.0,,50.0,53.0,Nigeria,71529.03,14.134067,38.9,599574.0,16.347645,Africa,0-4 years,Diarrhoeal diseases,0.11,0.1
NGA,2008,2.2,65.0,41.0,94.0,53.0,,60.0,95.0,,50.0,53.0,Nigeria,71529.03,14.134067,38.9,599574.0,16.347645,Africa,1-59 months,Diarrhoeal diseases,0.16,0.2
EGY,2008,51.1,98.0,97.0,94.0,92.0,,97.0,92.0,,,97.0,Egypt,959.69214,3.1302514,78.9,58598.0,3.6320312,Eastern Mediterranean,1-59 months,Injuries,0.083,0.1
NGA,2008,2.2,65.0,41.0,94.0,53.0,,60.0,95.0,,50.0,53.0,Nigeria,71529.03,14.134067,38.9,599574.0,16.347645,Africa,0-4 years,Injuries,0.038,0.0
NGA,2008,2.2,65.0,41.0,94.0,53.0,,60.0,95.0,,50.0,53.0,Nigeria,71529.03,14.134067,38.9,599574.0,16.347645,Africa,0-4 years,HIV/AIDS,0.027,0.0
EGY,2008,51.1,98.0,97.0,94.0,92.0,,97.0,92.0,,,97.0,Egypt,959.69214,3.1302514,78.9,58598.0,3.6320312,Eastern Mediterranean,1-59 months,Diarrhoeal diseases,0.14,0.1
EGY,2008,51.1,98.0,97.0,94.0,92.0,,97.0,92.0,,,97.0,Egypt,959.69214,3.1302514,78.9,58598.0,3.6320312,Eastern Mediterranean,0-4 years,Injuries,0.044,0.0
EGY,2008,51.1,98.0,97.0,94.0,92.0,,97.0,92.0,,,97.0,Egypt,959.69214,3.1302514,78.9,58598.0,3.6320312,Eastern Mediterranean,0-4 years,HIV/AIDS,0.0003,0.0
EGY,2008,51.1,98.0,97.0,94.0,92.0,,97.0,92.0,,,97.0,Egypt,959.69214,3.1302514,78.9,58598.0,3.6320312,Eastern Mediterranean,0-4 years,Tetanus,0.009,0.0
EGY,2008,51.1,98.0,97.0,94.0,92.0,,97.0,92.0,,,97.0,Egypt,959.69214,3.1302514,78.9,58598.0,3.6320312,Eastern Mediterranean,0-4 years,Measles,0.007,0.0
NGA,2008,2.2,65.0,41.0,94.0,53.0,,60.0,95.0,,50.0,53.0,Nigeria,71529.03,14.134067,38.9,599574.0,16.347645,Africa,1-59 months,Injuries,0.049,0.0
PAN,2008,51.8,98.0,86.0,86.0,96.0,,86.0,96.0,74.0,0.0,86.0,Panama,40.648422,1.9547889,91.8,1159.0,2.316667,Americas,0-4 years,Malaria,0.0,0.0
EGY,2008,51.1,98.0,97.0,94.0,92.0,,97.0,92.0,,,97.0,Egypt,959.69214,3.1302514,78.9,58598.0,3.6320312,Eastern Mediterranean,0-27 days,Measles,0.0,0.0
EGY,2008,51.1,98.0,97.0,94.0,92.0,,97.0,92.0,,,97.0,Egypt,959.69214,3.1302514,78.9,58598.0,3.6320312,Eastern Mediterranean,1-59 months,Birth asphyxia and birth trauma,0.035,0.0
NGA,2008,2.2,65.0,41.0,94.0,53.0,,60.0,95.0,,50.0,53.0,Nigeria,71529.03,14.134067,38.9,599574.0,16.347645,Africa,0-4 years,Malaria,0.19,0.2
NGA,2008,2.2,65.0,41.0,94.0,53.0,,60.0,95.0,,50.0,53.0,Nigeria,71529.03,14.134067,38.9,599574.0,16.347645,Africa,0-4 years,Acute lower respiratory infections,0.18,0.2
NGA,2008,2.2,65.0,41.0,94.0,53.0,,60.0,95.0,,50.0,53.0,Nigeria,71529.03,14.134067,38.9,599574.0,16.347645,Africa,0-27 days,Prematurity,0.29,0.3
EGY,2008,51.1,98.0,97.0,94.0,92.0,,97.0,92.0,,,97.0,Egypt,959.69214,3.1302514,78.9,58598.0,3.6320312,Eastern Mediterranean,0-4 years,Malaria,0.0,0.0
EGY,2008,51.1,98.0,97.0,94.0,92.0,,97.0,92.0,,,97.0,Egypt,959.69214,3.1302514,78.9,58598.0,3.6320312,Eastern Mediterranean,0-4 years,Meningitis/encephalitis,0.015,0.0
CAF,2008,6.0,74.0,93.5,94.0,58.0,,46.0,95.0,,62.0,45.0,Central African Republic,2128.1052,13.643628,43.7,17947.0,16.071291,Africa,0-4 years,Malaria,0.32,0.3
CAF,2008,6.0,74.0,93.5,94.0,58.0,,46.0,95.0,,62.0,45.0,Central African Republic,2128.1052,13.643628,43.7,17947.0,16.071291,Africa,1-59 months,Malaria,0.46,0.5
CYP,2008,65.0,98.0,93.0,90.0,87.0,,97.0,87.0,,,97.0,Cyprus,3.4984903,0.379103,97.2,44.0,0.5479286,Europe,0-27 days,Other noncommunicable diseases,0.0,0.0
CYP,2008,65.0,98.0,93.0,90.0,87.0,,97.0,87.0,,,97.0,Cyprus,3.4984903,0.379103,97.2,44.0,0.5479286,Europe,0-27 days,Injuries,0.011,0.0
CYP,2008,65.0,98.0,93.0,90.0,87.0,,97.0,87.0,,,97.0,Cyprus,3.4984903,0.379103,97.2,44.0,0.5479286,Europe,0-27 days,Tetanus,0.0,0.0
CYP,2008,65.0,98.0,93.0,90.0,87.0,,97.0,87.0,,,97.0,Cyprus,3.4984903,0.379103,97.2,44.0,0.5479286,Europe,0-27 days,Measles,0.0,0.0
CAF,2008,6.0,74.0,93.5,94.0,58.0,,46.0,95.0,,62.0,45.0,Central African Republic,2128.1052,13.643628,43.7,17947.0,16.071291,Africa,1-59 months,Acute lower respiratory infections,0.14,0.1
NGA,2008,2.2,65.0,41.0,94.0,53.0,,60.0,95.0,,50.0,53.0,Nigeria,71529.03,14.134067,38.9,599574.0,16.347645,Africa,1-59 months,HIV/AIDS,0.038,0.0
NGA,2008,2.2,65.0,41.0,94.0,53.0,,60.0,95.0,,50.0,53.0,Nigeria,71529.03,14.134067,38.9,599574.0,16.347645,Africa,1-59 months,Tetanus,0.0001,0.0
NGA,2008,2.2,65.0,41.0,94.0,53.0,,60.0,95.0,,50.0,53.0,Nigeria,71529.03,14.134067,38.9,599574.0,16.347645,Africa,1-59 months,Measles,0.023,0.0
EGY,2008,51.1,98.0,97.0,94.0,92.0,,97.0,92.0,,,97.0,Egypt,959.69214,3.1302514,78.9,58598.0,3.6320312,Eastern Mediterranean,0-27 days,Tetanus,0.017,0.0
NGA,2008,2.2,65.0,41.0,94.0,53.0,,60.0,95.0,,50.0,53.0,Nigeria,71529.03,14.134067,38.9,599574.0,16.347645,Africa,1-59 months,Acute lower respiratory infections,0.22,0.2
NGA,2008,2.2,65.0,41.0,94.0,53.0,,60.0,95.0,,50.0,53.0,Nigeria,71529.03,14.134067,38.9,599574.0,16.347645,Africa,1-59 months,Prematurity,0.015,0.0
EGY,2008,51.1,98.0,97.0,94.0,92.0,,97.0,92.0,,,97.0,Egypt,959.69214,3.1302514,78.9,58598.0,3.6320312,Eastern Mediterranean,1-59 months,HIV/AIDS,0.0006,0.0
VCT,2008,9.4,87.0,99.0,99.0,99.0,,99.0,99.0,,,99.0,Saint Vincent and the Grenadines,0.7745092,2.2050965,99.2,42.0,2.610942,Americas,1-59 months,Diarrhoeal diseases,0.0,0.0
VCT,2008,9.4,87.0,99.0,99.0,99.0,,99.0,99.0,,,99.0,Saint Vincent and the Grenadines,0.7745092,2.2050965,99.2,42.0,2.610942,Americas,1-59 months,Tetanus,0.0,0.0
PAN,2008,51.8,98.0,86.0,86.0,96.0,,86.0,96.0,74.0,0.0,86.0,Panama,40.648422,1.9547889,91.8,1159.0,2.316667,Americas,0-4 years,Birth asphyxia and birth trauma,0.11,0.1
